Expense Code (Original),New Code,Meaning
Benches,,Installing Benches / seating facilities
BachatGat,Helping Bachat gat,Helping bachat gat
BusStop,,Building or repairing bus stop / bus shade
CCTV,,"CCTV installation, repairing etc"
Cleaning,,"Cleaning material purchase, Rada roda cleaning etc"
Bags,Jute/ Cloth/ Canvas bags,Distribution of Jute/cloth/canvas bags
Computers,,Distributing Computers
Colouring,Colouring / Painting,Colouring works
Dustbin/Buckets,,Distributing Dustbins/buckets
Decoration,,Decoration (सुशोभीकरण)
Drainage,Drainage works,"Construction / repairs of drainages, Storm water drainage etc."
Development work,Miscelleneous Development works,Unspecified miscelleneous development works
Electrification,Electrical works,Electrification/new street lights/ wiring etc.
Footpath,,Construction /  repairs of footpaths
Fire Brigade,,Fire safety or fire brigade related works
Fencing,,Fencing / walls / gates
Furniture,,"Furniture works, curtains etc."
Garden,Garden / playgrounds,Garden / playground works
Gym,,Gym / gym equipments
Medical,Healthcare,Hospital / clinics/ medical facilities etc
Library,,Library sheds/ library maintenance 
Books,,Distributing books 
Maintenance,,Mainetnance and cleaning works
Markets /Mandi,,Govt. market spaces related works
Nameplates,Nameplates / Sign boards,Installation of Nameplates / Direction Boards / Sign Boards 
Pavement blocks,,Pavement Blocks / Grouting / Laying tiles
Road,Road works,Road Construction / Speed Breakers / Road repairs  
Buildings,,Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed
Bore wells,,Bore wells 
Concretization,,"Concrete roads, concretization of any specific area"
Cemetory / Crematorium,,Any work related to cemetory or crematorium
Toilet,,"Building toilets, repairs, maintenance etc."
Water supply,,"Water pipelines, repairing, पाणपोई, Water dispencers etc."
Waste disposal,,Public dustbins/ maintenance of waste disposal facility / purchasing Wheelbarrows etc. 
Steel Bollards,,Installing Steel bollards
Traffic,,"Traffic signs, traffic related works (वाहतूक विषयक)"
Help / Fund / Relief Work,,"Covid masks, sanitizers distribution / Disaster Relief Work / Contribution to PM Cares etc"
Ganeshotsav,,"Ganpati visarjan tanks, ghaats repairwork etc."
Rain Water Harvesting,,"Rain water harvesting plant, repair work etc."
Trees,,Tree plantation etc.
Education,Educational material,Giving books / educational materials/ equipments to school etc