"GHOLE ROAD - SHIVAJI NAGAR","","","","","","","",""
"","","","","","","0","",""
"Ward No.","Year","Sr. No.","Details of the work","Amount","Expense Code","Issue Status","Original Comment","Resolution Comment"
"7A","17-18","1","Mainetnance and cleaning works","146000","Maintenance","","",""
"7A","17-18","2","Cleaning material purchase etc","140,000.00","Cleaning","","",""
"7A","17-18","3","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","No Issue","",""
"7A","17-18","4","Benches","137,000.00","Benches","","",""
"7A","17-18","5","Mainetnance and cleaning works","199,000.00","Water supply","No Issue","",""
"7A","17-18","6","Mainetnance and cleaning works","199,000.00","Water supply","","",""
"7A","17-18","7","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"7A","17-18","8","Furniture works, curtains etc.","139,000.00","Furniture","","",""
"7A","17-18","9","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","120,000.00","Buildings","","",""
"7A","17-18","10","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","200,000.00","Buildings","","",""
"7B","17-18","1","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","Resolved","",""
"7B","17-18","2","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","Resolved","",""
"7B","17-18","3","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"7B","17-18","4","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","","",""
"7B","17-18","5","Benches","143,000.00","Benches","","",""
"7B","17-18","6","Benches","142,000.00","Benches","","",""
"7B","17-18","7","Electrification/new street lights","100,000.00","Electrification","","",""
"7B","17-18","8","Electrification/new street lights","100,000.00","Electrification","","",""
"7B","17-18","9","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","192,000.00","Buildings","","",""
"7B","17-18","10","Distributing Dustbins/buckets","200,000.00","Waste disposal","","",""
"7C","17-18","1","Benches","150,000.00","Benches","","",""
"7C","17-18","2","mainetnance and cleaning works","200,000.00","Water supply","","",""
"7C","17-18","3","mainetnance and cleaning works","200,000.00","Water supply","","",""
"7C","17-18","4","mainetnance and cleaning works","199,000.00","Water supply","","",""
"7C","17-18","5","mainetnance and cleaning works","199,000.00","Water supply","","",""
"7C","17-18","6","Benches","151,000.00","Benches","","",""
"7C","17-18","7","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"7C","17-18","8","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"7C","17-18","9","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"7C","17-18","10","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","","",""
"7C","17-18","11","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","","",""
"7D","17-18","1","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","150,000.00","Buildings","","",""
"7D","17-18","2","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","132,000.00","Buildings","","",""
"7D","17-18","3","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","142,000.00","Nameplates","","",""
"7D","17-18","4","Drainage works","140,000.00","Drainage","","",""
"7D","17-18","5","Drainage works","140,000.00","Drainage","","",""
"7D","17-18","6","Drainage works","140,000.00","Drainage","","",""
"7D","17-18","7","Drainage works","140,000.00","Drainage","","",""
"7D","17-18","8","Electrification/new street lights","132,000.00","Electrification","","",""
"7D","17-18","9","Samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","121,000.00","Buildings","","",""
"7D","17-18","10","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14A","17-18","1","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14A","17-18","2","Building toilets / maintenance etc.","200,000.00","Toilet","","",""
"14A","17-18","3","Drainage works","200,000.00","Drainage","","",""
"14A","17-18","4","Concrete roads, concretization of any specific area","121,000.00","Concretization","","",""
"14A","17-18","5","Cleaning material purchase etc","200,000.00","Waste disposal","No Issue","",""
"14A","17-18","6","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","143,000.00","Decoration","","",""
"14A","17-18","7","samaj Mandir / Schools / Virangula Kendra / Any Building Related Work / Renovation / Temple Shed","200,000.00","Buildings","","",""
"14A","17-18","8","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14A","17-18","9","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14B","17-18","1","Gym / gym equipments","200,000.00","Gym","","",""
"14B","17-18","2","Gym / gym equipments","200,000.00","Gym","","",""
"14B","17-18","3","Electrification/new street lights","100,000.00","Electrification","","",""
"14B","17-18","4","Electrification/new street lights","100,000.00","Electrification","","",""
"14B","17-18","5","Electrification/new street lights","100,000.00","Electrification","","",""
"14B","17-18","6","Electrification/new street lights","100,000.00","Electrification","","",""
"14B","17-18","7","Drainage works","161,000.00","Drainage","","",""
"14B","17-18","8","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","","",""
"14B","17-18","9","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14C","17-18","1","Cleaning material purchase etc","200,000.00","Waste disposal","","",""
"14C","17-18","2","Benches","160,000.00","Benches","","",""
"14C","17-18","3","Benches","140,000.00","Benches","","",""
"14C","17-18","4","Distributing Dustbins/buckets","200,000.00","Dustbin/Buckets","","",""
"14C","17-18","5","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14C","17-18","6","Electrification/new street lights","128,000.00","Electrification","","",""
"14C","17-18","7","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14C","17-18","8","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14C","17-18","9","Electrification/new street lights","200,000.00","Electrification","","",""
"14C","17-18","10","Installation of Nameplates / Direction Boards / Sign Boards / Message Boards / Slogans Painting","143,000.00","Nameplates","","",""
"14D","17-18","1","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14D","17-18","2","benches","200,000.00","Benches","","",""
"14D","17-18","3","Jute bags/ cloth/ canvas bags etc. ","200,000.00","Bags","","",""
"14D","17-18","4","electrification/new street lights","200,000.00","Electrification","","",""
"7A","18-19","1","Picking up radar waste","119,000.00","Cleaning","No Issue","",""
"7A","18-19","2","Electrical works","162,000.00","Electrification","No Issue","",""
"7A","18-19","3","Electrical works","153,000.00","Electrification","No Issue","",""
"7A","18-19","4","Jute bags distribution","200,000.00","Bags","No Issue","",""
"7A","18-19","5","Dustbin distribution","200,000.00","Dustbin/Buckets","No Issue","",""
"7A","18-19","6","Cleaning material distribution","200,000.00","Waste disposal","No Issue","",""
"7A","18-19","7","Nameplates installation","200,000.00","Nameplates","No Issue","",""
"7A","18-19","8","Nameplates and direction boards installation","100,000.00","Nameplates","No Issue","",""
"7A","18-19","9","P.M.C. colony related repair work","162,000.00","Maintenance","No Issue","",""
"7A","18-19","10","Cement road in P.M.C. colony","200,000.00","Concretization","No Issue","",""
"7B","18-19","1","Jute bags distribution","200,000.00","Bags","No Issue","",""
"7B","18-19","2","Jute bags distribution","200,000.00","Bags","No Issue","",""
"7B","18-19","3","Taekwondo mat and other materials purchasing","200,000.00","Gym","No Issue","",""
"7B","18-19","4","Jute bags distribution","200,000.00","Bags","No Issue","",""
"7B","18-19","5","Jute bags distribution","200,000.00","Bags","No Issue","",""
"7B","18-19","6","Jute bags distribution","200,000.00","Bags","No Issue","",""
"7B","18-19","7","Samaj-mandir repair work ","200,000.00","Buildings","No Issue","",""
"7C","18-19","1","Colouring and decoration of Agriculture college ","155,000.00","Decoration","No Issue","",""
"7C","18-19","2","Buckets distribution for seggregation of waste","200,000.00","Dustbin/Buckets","No Issue","",""
"7C","18-19","3","Jute bags distribution","200,000.00","Bags","No Issue","",""
"7C","18-19","4","Electrical works","143,000.00","Electrification","No Issue","",""
"7C","18-19","5","Jute bags distribution","200,000.00","Bags","No Issue","",""
"7C","18-19","6","Nameplates and direction boards installation","159,000.00","Nameplates","No Issue","",""
"7D","18-19","1","Jute bags distribution","200,000.00","Bags","No Issue","",""
"7D","18-19","2","Jute bags distribution","200,000.00","Bags","No Issue","",""
"7D","18-19","3"," 'Patra-shed' work","158,000.00","Buildings","No Issue","",""
"7D","18-19","4","Tiles replacement near Sai-baba temple","171,000.00","Pavement blocks","No Issue","",""
"7D","18-19","5","Wall-painting","134,000.00","Colouring","No Issue","",""
"7D","18-19","6","Repair work of swimming pool","167,000.00","Maintenance","No Issue","",""
"7D","18-19","7","Development work at 'Sanskrutik Bhavan'","161,000.00","Development work","No Issue","",""
"7D","18-19","8","Toilet repair and colouring","160,000.00","Toilet","No Issue","",""
"7D","18-19","9","Painting walls","153,000.00","Colouring","No Issue","",""
"7D","18-19","10","Decoration of statues ","200,000.00","Decoration","No Issue","",""
"14A","18-19","1","Buckets distribution for seggregation of waste","200,000.00","Dustbin/Buckets","No Issue","",""
"14A","18-19","2","Jute bags distribution","200,000.00","Bags","No Issue","",""
"14A","18-19","3","Jute bags distribution","200,000.00","Bags","No Issue","",""
"14A","18-19","4","Buckets distribution for seggregation of waste","200,000.00","Dustbin/Buckets","No Issue","",""
"14A","18-19","5","Picking up radar waste","200,000.00","Cleaning","No Issue","",""
"14A","18-19","6","Colouring thermoplastic","176,000.00","Traffic","No Issue","",""
"14A","18-19","7","Blocks installation","200,000.00","Pavement blocks","No Issue","",""
"14A","18-19","8","Toilet related work","200,000.00","Toilet","No Issue","",""
"14A","18-19","9","Blocks installation","158,000.00","Pavement blocks","No Issue","",""
"14A","18-19","10","Buckets distribution ","200,000.00","Dustbin/Buckets","No Issue","",""
"14B","18-19","1","Buckets distribution for seggregation of waste","200,000.00","Dustbin/Buckets","No Issue","",""
"14B","18-19","2","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"14B","18-19","3","Cloth bags distribution through Bachat gat","200,000.00","Bags","No Issue","",""
"14B","18-19","4","Cloth bags distribution through Bachat gat","200,000.00","Bags","No Issue","",""
"14B","18-19","5","Paver blocks installation","161,000.00","Pavement blocks","No Issue","",""
"14B","18-19","6","Paver blocks installation","200,000.00","Pavement blocks","No Issue","",""
"14B","18-19","7","Picking up radar waste","165,000.00","Cleaning","No Issue","",""
"14C","18-19","1","Buckets distribution for seggregation of waste","200,000.00","Dustbin/Buckets","No Issue","",""
"14C","18-19","2","Colouring walls ","159,000.00","Colouring","No Issue","",""
"14C","18-19","3","Water cooler installation","200,000.00","Water supply","No Issue","",""
"14C","18-19","4","Water cooler installation","200,000.00","Water supply","No Issue","",""
"14C","18-19","5","Thermoplastic strips painting","85,000.00","Traffic","No Issue","",""
"14C","18-19","6","Computers and printers distribution","200,000.00","Computers","No Issue","",""
"14C","18-19","7","Computers and printers distribution","200,000.00","Computers","No Issue","",""
"14C","18-19","8","Decorative poll (Tulshi Vrundawan) installation","196,000.00","Decoration","No Issue","",""
"14C","18-19","9","Jute bags distribution","200,000.00","Bags","No Issue","",""
"14C","18-19","10","Jute bags distribution","200,000.00","Bags","No Issue","",""
"14D","18-19","1","Buckets distrinution","200,000.00","Dustbin/Buckets","No Issue","",""
"14D","18-19","2","Electrical works","144,000.00","Electrification","No Issue","",""
"14D","18-19","3","Electrical works in Toilet","158,000.00","Electrification","No Issue","",""
"14D","18-19","4","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"14D","18-19","5","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"14D","18-19","6","Samaj-mandir related work","200,000.00","Buildings","No Issue","",""
"14D","18-19","7","Samaj-mandir related work","150,000.00","Buildings","No Issue","",""
"14D","18-19","8","Thermoplastic strips painting","200,000.00","Traffic","No Issue","",""
"7A","19-20","1","Nameplates and direction boards installation","195,000.00","Nameplates","No Issue","",""
"7A","19-20","2","Electrical works","123,000.00","Electrification","No Issue","",""
"7A","19-20","3","Electrical works","200,000.00","Electrification","No Issue","",""
"7A","19-20","4","Cleaning material distributed","200,000.00","Cleaning","No Issue","",""
"7A","19-20","5","Cleaning material distributed","200,000.00","Cleaning","No Issue","",""
"7A","19-20","6","Miscelleneous Development work ","200,000.00","Development work","No Issue","",""
"7B","19-20","1","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"7B","19-20","2","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"7B","19-20","3","Black phenyl purchased for public toilets","200,000.00","Cleaning","No Issue","",""
"7B","19-20","4","Black phenyl purchased for public toilets","200,000.00","Cleaning","No Issue","",""
"7B","19-20","5"," 'Patra-shed' and tiles installation","200,000.00","Buildings","No Issue","",""
"7B","19-20","6","Phenyl purchased for public toilets","200,000.00","Cleaning","No Issue","",""
"7B","19-20","7","Maintainance and miscelleneous development work of Samaj-mandir ","200,000.00","Buildings","No Issue","",""
"7B","19-20","8","Cloth bags distribution","100,000.00","Bags","No Issue","",""
"7B","19-20","9","Cleaning material distribution","200,000.00","Cleaning","No Issue","",""
"7B","19-20","10","Cleaning material distribution","200,000.00","Cleaning","No Issue","",""
"7B","19-20","11","Cleaning material distribution","200,000.00","Help / Fund / Relief Work","No Issue","",""
"7B","19-20","12","Footpath work","200,000.00","Footpath","No Issue","",""
"7C","19-20","1","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"7C","19-20","2","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"7C","19-20","3","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"7C","19-20","4","Water-proofing Samaj-Mandir","200,000.00","Buildings","No Issue","",""
"7C","19-20","5","Painting walls","130,000.00","Colouring","No Issue","",""
"7C","19-20","6","Colouring walls and decoration","121,000.00","Colouring","No Issue","",""
"7C","19-20","7","Drainage line repair","200,000.00","Drainage","No Issue","",""
"7C","19-20","8","Drainage line repair","200,000.00","Drainage","No Issue","",""
"7D","19-20","1","Jute bags distribution","200,000.00","Bags","Resolved","Available fund 100,000, but spent 200,000????",""
"7D","19-20","2","Jute bags distribution","200,000.00","Bags","No Issue","",""
"7D","19-20","3","Jute bags distribution","200,000.00","Bags","No Issue","",""
"7D","19-20","4","Colouring walls","130,000.00","Colouring","No Issue","",""
"7D","19-20","5","Decorating walls","137,000.00","Decoration","No Issue","",""
"7D","19-20","6","Decorative electrical polls installation and related works","200,000.00","Decoration","No Issue","",""
"7D","19-20","7","Colouring walls and decoration","109,000.00","Colouring","No Issue","",""
"7D","19-20","8","Statue decoration","88,000.00","Decoration","No Issue","",""
"14A","19-20","1","Drainage line cleaning and related work","200,000.00","Drainage","No Issue","",""
"14A","19-20","2","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"14A","19-20","3","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"14A","19-20","4","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"14A","19-20","5","Drainage related work","200,000.00","Drainage","No Issue","",""
"14A","19-20","6","Drainage and man-hole cleaning","200,000.00","Drainage","No Issue","",""
"14A","19-20","7","Wall-painting","200,000.00","Colouring","No Issue","",""
"14A","19-20","8","Thermoplastic strips painting and related works","200,000.00","Traffic","No Issue","",""
"14A","19-20","9","Thermoplastic painting","200,000.00","Traffic","No Issue","",""
"14A","19-20","10","Painting white strips on the roads for safety reasons","200,000.00","Traffic","No Issue","",""
"14B","19-20","1","fire extinguisher installation","200,000.00","Fire Brigade","No Issue","",""
"14B","19-20","2","Paver blocks installation","200,000.00","Pavement blocks","No Issue","",""
"14B","19-20","3","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"14B","19-20","4","Cloth bags distribution through Bachat gat","200,000.00","Bags","No Issue","",""
"14B","19-20","5","Buckets distribution","100,000.00","Dustbin/Buckets","No Issue","",""
"14B","19-20","6","Benches distribution","200,000.00","Benches","No Issue","",""
"14B","19-20","7","Paver blocks repair related work","200,000.00","Pavement blocks","No Issue","",""
"14B","19-20","8","Cloth bags distribution","200,000.00","Bags","No Issue","",""
"14C","19-20","1","Flood relief fund","100,000.00","Help / Fund / Relief Work","No Issue","",""
"14C","19-20","2","Making 'Doll-house' in the school for special children","165,000.00","Decoration","Resolved","Code??",""
"14C","19-20","3","New library","151,000.00","Library","No Issue","",""
"14C","19-20","4","Tiles installation and related work","141,000.00","Pavement blocks","No Issue","",""
"14C","19-20","5","Tiles installation and related work","138,000.00","Pavement blocks","No Issue","",""
"14D","19-20","1","Gym related development work","189,000.00","Gym","No Issue","",""
"14D","19-20","2"," 'Dhakal-gadi' for 'Aarogya Kothi'","100,000.00","Cleaning","No Issue","",""
"14D","19-20","3","Cleaning material for 'Aarogya Kothi'","100,000.00","Cleaning","No Issue","",""
"14D","19-20","4"," 'Gaal-gadi' for 'Aarogya Kothi'","100,000.00","Cleaning","No Issue","",""
"14D","19-20","5","Cleaning material for 'Aarogya Kothi'","100,000.00","Cleaning","No Issue","",""
"14D","19-20","6"," 'Dhakal-gadi' for 'Aarogya Kothi'","100,000.00","Waste disposal","No Issue","",""
"14D","19-20","7","Flood relief fund","100,000.00","Help / Fund / Relief Work","No Issue","",""
"14D","19-20","8","Buckets distribution","200,000.00","Dustbin/Buckets","No Issue","",""
"14D","19-20","9","Buckets distribution","200,000.00","Dustbin/Buckets","No Issue","",""
"14D","19-20","10","Benches distribution","200,000.00","Benches","No Issue","",""
"14D","19-20","11","Benches distribution","200,000.00","Benches","No Issue","",""
"7A","20-21","1","Mask distribution","200,000.00","Help / Fund / Relief Work","No Issue","",""
"7A","20-21","2","Hands free wash basin installation","199,000.00","Help / Fund / Relief Work","No Issue","",""
"7A","20-21","3","Wall-painting","199,000.00","Colouring","No Issue","",""
"7A","20-21","4","Wall-painting","199,000.00","Colouring","No Issue","",""
"7A","20-21","5","Drinking water tanks cleaning","200,000.00","Cleaning","No Issue","",""
"7A","20-21","6","Drinking water tanks cleaning","199,000.00","Cleaning","No Issue","",""
"7A","20-21","7","Brooms provided for 'Arogya Kothi'","200,000.00","Waste disposal","No Issue","",""
"7A","20-21","8","P.M.C. colony related repair work","196,000.00","Maintenance","No Issue","",""
"7A","20-21","9","School rooms painting","177,000.00","Colouring","No Issue","",""
"7B","20-21","1","Mask distribution","200,000.00","Help / Fund / Relief Work","No Issue","",""
"7B","20-21","2","Black phenyl purchased for public toilets","200,000.00","Cleaning","No Issue","",""
"7B","20-21","3","Library construction","181,000.00","Library","No Issue","",""
"7B","20-21","4","Library construction","191,000.00","Library","No Issue","",""
"7B","20-21","5","Fragrant phenyl purchased for public toilets","200,000.00","Cleaning","No Issue","",""
"7B","20-21","6","Library construction","200,000.00","Library","No Issue","",""
"7B","20-21","7","Brooms provided for 'Arogya Kothi'","200,000.00","Waste disposal","No Issue","",""
"7B","20-21","8","Brooms distribution","200,000.00","Waste disposal","No Issue","",""
"7B","20-21","9"," 'Baudhha-Vihar' repair work","199,000.00","Buildings","No Issue","",""
"7B","20-21","10","School rooms painting","196,000.00","Colouring","No Issue","",""
"7C","20-21","1","Mask distribution","200,000.00","Help / Fund / Relief Work","No Issue","",""
"7C","20-21","2","Sensor-wash basin installation in Covid-zones","199,000.00","Help / Fund / Relief Work","No Issue","",""
"7C","20-21","3","Acid and phenyl provided for 'Arogya Kothi'","200,000.00","Cleaning","No Issue","",""
"7C","20-21","4","Hand free sanitizer stand distribution","192,000.00","Help / Fund / Relief Work","No Issue","",""
"7C","20-21","5","Computers and printers distribution","198,000.00","Computers","No Issue","",""
"7C","20-21","6","Computers and printers distribution","198,000.00","Computers","No Issue","",""
"7D","20-21","1","Hand free wash basin installation","199,000.00","Help / Fund / Relief Work","No Issue","",""
"7D","20-21","2","Mask distribution","200,000.00","Help / Fund / Relief Work","No Issue","",""
"7D","20-21","3","Sensor-wash basin installation in Covid-zones","199,000.00","Help / Fund / Relief Work","No Issue","",""
"7D","20-21","4","Shed construction near Toilet and related work","168,000.00","Buildings","No Issue","",""
"7D","20-21","5","Fragrant phenyl distribution","200,000.00","Cleaning","No Issue","",""
"7D","20-21","6","Basin and water-taps installation is schools","199,000.00","Water supply","No Issue","",""
