"Ward Office Name","Prabhag Name","Prabhag No.","Place","Corporator Name","Gender","Party","Criminal_Records (Yes/No)","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Kalas-Dhanori","1","A","Jadhav Aishwarya Ashutosh","F","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Kalas-Dhanori","1","B","Maruti (Nana) Sangde","M","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Kalas-Dhanori","1","C","Tingare Rekha Chdnrakant","F","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Kalas-Dhanori","1","D","Anil (Bobby) Vasantrao Tingare","M","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Phule Nagar - Nagpur Chawl","2","A","Dr. Dhende Siddhartha Yashwant","M","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Phule Nagar - Nagpur Chawl","2","B","Farjana Ayub Shaikh","F","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Phule Nagar - Nagpur Chawl","2","C","Sawant Shital Ajay","F","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Phule Nagar - Nagpur Chawl","2","D","Tingare Sunil Vijay","M","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Viman Nagar- Somnath Nagar","3","A","Jagtap Mukta Arjun","F","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Viman Nagar- Somnath Nagar","3","B","Bhandare Rahul Kondiram","M","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Viman Nagar- Somnath Nagar","3","C","Galande Khose Shewta","F","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Viman Nagar- Somnath Nagar","3","D","Karne (Guruji) Bapurao Gangaram","M","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Kharadi - Chandanagar","4","A","Jadhav Bhaiyasaheb Tukaram","M","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Kharadi - Chandanagar","4","B","Pathare Suman Balasaheb","F","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Kharadi - Chandanagar","4","C","Pathare Sanjila Bapusaheb","F","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Kharadi - Chandanagar","4","D","Pathare Mahendra Pandharinath","M","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Vadagaon Sheri - Kalyaninagar","5","A","Sunita Galande","F","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Vadagaon Sheri - Kalyaninagar","5","B","Shital Dnyaneshwar Shinde","F","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Vadagaon Sheri - Kalyaninagar","5","C","Mulik Yogesh Tukaram","M","","","","","","","","","","","","","","","","","","","",""
"Nagar Road - Vadgaonsheri Ward Office","Vadagaon Sheri - Kalyaninagar","5","D","Jarhad Sandip Namdev","M","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Yerawada","6","A","Adv. Avinash Raj Salve","M","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Yerawada","6","B","Chavan Shewta Shrisheth (Anil)","F","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Yerawada","6","C","Landge Ashwini Danial","F","","","","","","","","","","","","","","","","","","","",""
"Yeravada Kalas Dhanori Ward Office","Yerawada","6","D","Bhosale Sanjay Shashikant","M","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar - Ghole Road Ward Office","Pune University - Wakadewadi","7","A","Landage Sonali Santosh","F","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar - Ghole Road Ward Office","Pune University - Wakadewadi","7","B","Kale Rajshree Dnyaneshwar","F","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar - Ghole Road Ward Office","Pune University - Wakadewadi","7","C","Malwe Aaditya Anil","M","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar - Ghole Road Ward Office","Pune University - Wakadewadi","7","D","Bhosale Reshma Anil","F","","","","","","","","","","","","","","","","","","","",""
"Aundh - Baner Ward Office","Aundh -Bopodi","8","A","Sunita Parshuram Wadekar","F","","","","","","","","","","","","","","","","","","","",""
"Aundh - Baner Ward Office","Aundh -Bopodi","8","B","Archana Madhukar Musale","F","","","","","","","","","","","","","","","","","","","",""
"Aundh - Baner Ward Office","Baner-Balevadi-Pashan","9","A","Saikar Swapnali Pralhad","F","","","","","","","","","","","","","","","","","","","",""
"Aundh - Baner Ward Office","Baner-Balevadi-Pashan","9","B","Jyoti Ganesh Kalamkar","F","","","","","","","","","","","","","","","","","","","",""
"Aundh - Baner Ward Office","Baner-Balevadi-Pashan","9","C","Amol Ratan Balwadkar","M","","","","","","","","","","","","","","","","","","","",""
"Aundh - Baner Ward Office","Baner-Balevadi-Pashan","9","D","Baburao Dattoba Chandere","M","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Bavdhan-Kothrud Depot","10","A","Kiran Dagade Patil","M","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Bavdhan-Kothrud Depot","10","B","Prabhune Shraddha Ashok","F","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Bavdhan-Kothrud Depot","10","C","Varpe Alpana Ganesh","F","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Bavdhan-Kothrud Depot","10","D","Dilip Vede Patil","M","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Rambaug Colony- Shivtirtha Nagar","11","A","Dipak Mankar","M","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Rambaug Colony- Shivtirtha Nagar","11","B","Marne Chhaya Ajay","F","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Rambaug Colony- Shivtirtha Nagar","11","C","Marathe Vaishali Rajendra","F","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Rambaug Colony- Shivtirtha Nagar","11","D","Adv. Kadam Ramchandra alias Chandusheth Atmaram","M","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Mayur Colony Dahanukar Colony","12","A","Harshali Dinesh Mathwad","F","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Mayur Colony Dahanukar Colony","12","B","Vasanti Navnath Jadhav","F","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Mayur Colony Dahanukar Colony","12","C","Murlidhar Mohol","M","","","","","","","","","","","","","","","","","","","",""
"Kothrud - Bawdhan Ward Office","Mayur Colony Dahanukar Colony","12","D","Sutar Prithviraj Shashikant","M","","","","","","","","","","","","","","","","","","","",""
"Warje - Karvenagar Ward Office","Erandwana Happy Colony","13","A","Dipak Ashok Pote","M","","","","","","","","","","","","","","","","","","","",""
"Warje - Karvenagar Ward Office","Erandwana Happy Colony","13","B","Madhuri Shriram Sahastrabudhe","F","","","","","","","","","","","","","","","","","","","",""
"Warje - Karvenagar Ward Office","Erandwana Happy Colony","13","C","Manjushri Sandeep Khardekar","F","","","","","","","","","","","","","","","","","","","",""
"Warje - Karvenagar Ward Office","Erandwana Happy Colony","13","D","Jayant Govind Bhave","M","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar - Ghole Road Ward Office","Deccan Gymkhana - Model Colony","14","A","Lokhande Swati Ashok","F","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar - Ghole Road Ward Office","Deccan Gymkhana - Model Colony","14","B","Khade Nilima Dattatraya","F","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar - Ghole Road Ward Office","Deccan Gymkhana - Model Colony","14","C","Ekbote Jyotsna Gajanan","F","","","","","","","","","","","","","","","","","","","",""
"Shivajinagar - Ghole Road Ward Office","Deccan Gymkhana - Model Colony","14","D","Siddharth Padmakar alias Anil Shirole","M","","","","","","","","","","","","","","","","","","","",""
"Kasaba VishramBagwada Ward Office","Shaniwar Peth Sadashiv Peth","15","A","Hemant Narayan Rasne","M","","","","","","","","","","","","","","","","","","","",""
"Kasaba VishramBagwada Ward Office","Shaniwar Peth Sadashiv Peth","15","B","Adv. Gayatri Ratnadip Khadke","F","","","","","","","","","","","","","","","","","","","",""
"Kasaba VishramBagwada Ward Office","Shaniwar Peth Sadashiv Peth","15","C","Tilak Mukta Shailesh","F","","","","","","","","","","","","","","","","","","","",""
"Kasaba VishramBagwada Ward Office","Shaniwar Peth Sadashiv Peth","15","D","Yenpure Rajesh Tukaram","M","","","","","","","","","","","","","","","","","","","",""
"Kasaba VishramBagwada Ward Office","Kasba Peth Somwar Peth","16","A","Pallavi Chandrashekhar Jawle","F","","","","","","","","","","","","","","","","","","","",""
"Kasaba VishramBagwada Ward Office","Kasba Peth Somwar Peth","16","B","Ravindra Hemraj Dhangekar","M","","","","","","","","","","","","","","","","","","","",""
"Kasaba VishramBagwada Ward Office","Kasba Peth Somwar Peth","16","C","Sujata Sadanand Shetty","F","","","","","","","","","","","","","","","","","","","",""
"Kasaba VishramBagwada Ward Office","Kasba Peth Somwar Peth","16","D","Yogesh Dattatraya Samel","M","","","","","","","","","","","","","","","","","","","",""
"Bhavani Peth Ward Office","Rasta Peth Raviwar Peth","17","A","Laxmi Udaykant Andekar","F","","","","","","","","","","","","","","","","","","","",""
"Bhavani Peth Ward Office","Rasta Peth Raviwar Peth","17","B","Sulochana Tejendra Kondhare","F","","","","","","","","","","","","","","","","","","","",""
"Bhavani Peth Ward Office","Rasta Peth Raviwar Peth","17","C","Andekar Vanraj Suryakant","M","","","","","","","","","","","","","","","","","","","",""
"Bhavani Peth Ward Office","Rasta Peth Raviwar Peth","17","D","Dhanwade Vishal Gorakh","M","","","","","","","","","","","","","","","","","","","",""
"Bhavani Peth Ward Office","Khadakmal Aali Mahatma Phule Peth","18","A","Vijayalaxmi Motilal Harihar","F","","","","","","","","","","","","","","","","","","","",""
"Bhavani Peth Ward Office","Khadakmal Aali Mahatma Phule Peth","18","B","Aarti Sachin Kondhare","F","","","","","","","","","","","","","","","","","","","",""
"Bhavani Peth Ward Office","Khadakmal Aali Mahatma Phule Peth","18","C","Ajay Pandurang Khedekar","M","","","","","","","","","","","","","","","","","","","",""
"Bhavani Peth Ward Office","Khadakmal Aali Mahatma Phule Peth","18","D","Samrat Abhay Thorat","M","","","","","","","","","","","","","","","","","","","",""
"Bhavani Peth Ward Office","Lohiyanagar - Kasewadi","19","A","Avinash Ramesh Bagwe","M","","","","","","","","","","","","","","","","","","","",""
"Bhavani Peth Ward Office","Lohiyanagar - Kasewadi","19","B","Ladkat Manisha Sandeep","F","","","","","","","","","","","","","","","","","","","",""
"Bhavani Peth Ward Office","Lohiyanagar - Kasewadi","19","C","Patil Archana Tushar","F","","","","","","","","","","","","","","","","","","","",""
"Bhavani Peth Ward Office","Lohiyanagar - Kasewadi","19","D","Rafiq Abdul Rahim Shaikh","M","","","","","","","","","","","","","","","","","","","",""
"Dhole Patil Road Ward Office","Tadiwala Road Sasoon Hospital","20","A","Gaikwad Pradeep Machhindra","M","","","","","","","","","","","","","","","","","","","",""
"Dhole Patil Road Ward Office","Tadiwala Road Sasoon Hospital","20","B","Chandbi Haji Nadaf","F","","","","","","","","","","","","","","","","","","","",""
"Dhole Patil Road Ward Office","Tadiwala Road Sasoon Hospital","20","C","Latabai Dayaram Rajguru","F","","","","","","","","","","","","","","","","","","","",""
"Dhole Patil Road Ward Office","Tadiwala Road Sasoon Hospital","20","D","Arvind Tukaram Shinde","M","","","","","","","","","","","","","","","","","","","",""
"Dhole Patil Road Ward Office","Koregaon Park Ghorpadi","21","A","Miss Himalitai Navnath Kambale","F","","","","","","","","","","","","","","","","","","","",""
"Dhole Patil Road Ward Office","Koregaon Park Ghorpadi","21","B","Lata Vishnu Dhayarkar","F","","","","","","","","","","","","","","","","","","","",""
"Dhole Patil Road Ward Office","Koregaon Park Ghorpadi","21","C","Mangala Prakash Mantri","F","","","","","","","","","","","","","","","","","","","",""
"Dhole Patil Road Ward Office","Koregaon Park Ghorpadi","21","D","Umesh Dnyaneshwar Gaikwad","M","","","","","","","","","","","","","","","","","","","",""
"Hadapsar - Mundhwa Ward Office","Mundhwa Magarpatta City","22","A","Shri.Chetan Vittal Tupe (Corporator / MLA)","M","","","","","","","","","","","","","","","","","","","",""
"Hadapsar - Mundhwa Ward Office","Mundhwa Magarpatta City","22","B","Hemlata Nilesh Magar","F","","","","","","","","","","","","","","","","","","","",""
"Hadapsar - Mundhwa Ward Office","Mundhwa Magarpatta City","22","C","Smt. Pooja Kodre","F","","","","","","","","","","","","","","","","","","","",""
"Hadapsar - Mundhwa Ward Office","Mundhwa Magarpatta City","22","D","Sunil Jaywant Gaikwad","M","","","","","","","","","","","","","","","","","","","",""
"Hadapsar - Mundhwa Ward Office","Hadapsar Gaothan - Satavwadi","23","A","Yogesh Dattatraya Sasane","M","","","","","","","","","","","","","","","","","","","",""
"Hadapsar - Mundhwa Ward Office","Hadapsar Gaothan - Satavwadi","23","B","Vaishali Sunil Bankar","F","","","","","","","","","","","","","","","","","","","",""
"Hadapsar - Mundhwa Ward Office","Hadapsar Gaothan - Satavwadi","23","C","Ujjwala Subhash Jangale","F","","","","","","","","","","","","","","","","","","","",""
"Hadapsar - Mundhwa Ward Office","Hadapsar Gaothan - Satavwadi","23","D","Maruti Shivaji Tupe","M","","","","","","","","","","","","","","","","","","","",""
"Wanawadi - Ramtekadi Ward Office","Ramtekdi - Sayyadnagar","24","A","Ashok Dhaku Kamble","M","","","","","","","","","","","","","","","","","","","",""
"Wanawadi - Ramtekadi Ward Office","Ramtekdi - Sayyadnagar","24","B","Anand Anna Alkunte","M","","","","","","","","","","","","","","","","","","","",""
"Wanawadi - Ramtekadi Ward Office","Wanwadi","25","A","Ghogare Dhanraj Baburao","M","","","","","","","","","","","","","","","","","","","",""
"Wanawadi - Ramtekadi Ward Office","Wanwadi","25","B","Kalinda Murlidhar Pund","F","","","","","","","","","","","","","","","","","","","",""
