"YERAWADA - KALAS - DHANORI","","","","","","","",""
"1B","20-21","1","Wash basin","200,000.00","Help / Fund / Relief Work","","",""
"1B","20-21","2","Colouring slogans","193,702.92","Decoration","","",""
"1B","20-21","3","Drainage works","119,382.00","Drainage","","",""
"1B","20-21","4","Rada Roda cleaning work","137,472.62","Cleaning","","",""
"1B","20-21","5","Electrical works","133,875.68","Electrification","","",""
"1B","20-21","6","Electrical works","106,639.64","Electrification","","",""
"1B","20-21","7","Dhakal gadi","199,690.00","Waste disposal","","",""
"1B","20-21","8","Masks distribution","199,396.06","Help / Fund / Relief Work","","",""
"1B","20-21","9","Toilet repairs","200,000.00","Toilet","","",""
"1B","20-21","10","Dhakal gadi","199,690.00","Waste disposal","","",""
"1C","20-21","1","Rada Roda cleaning work","137,252.15","Cleaning","","",""
"1C","20-21","2","Development works","119,964.00","Development work","","",""
"1C","20-21","3","Drainage works","200,000.00","Drainage","","",""
"1C","20-21","4","Storm water drainage","200,000.00","Drainage","","",""
"1C","20-21","5","Development works","137,156.47","Development work","","",""
"1C","20-21","6","Drainage works","145,166.00","Drainage","","",""
"1C","20-21","7","Drainage works","200,000.00","Drainage","","",""
"1C","20-21","8","Toilet repairs","200,000.00","Toilet","","",""
"1C","20-21","9","Masks distribution","200,000.00","Help / Fund / Relief Work","","",""
"1D","20-21","1","Sanitizer stand","199,852.76","Help / Fund / Relief Work","","",""
"1D","20-21","2","Sanitizer stand","199,852.76","Help / Fund / Relief Work","","",""
"1D","20-21","3","Drainage works","123,079.90","Drainage","","",""
"1D","20-21","4","Toilet repairs","127,841.73","Toilet","","",""
"1D","20-21","5","Drainage works","123,079.90","Drainage","","",""
"1D","20-21","6","Rada Roda cleaning work","146,477.50","Cleaning","","",""
"1D","20-21","7","crematorium","135,823.22","Cemetory / Crematorium","","",""
"1D","20-21","8","Drainage works","126,235.01","Drainage","","",""
"1D","20-21","9","Drainage works","126,571.71","Drainage","","",""
"1D","20-21","10","Masks distribution","200,000.00","Help / Fund / Relief Work","","",""
"2A","20-21","1","Drainage works","120,967.00","Drainage","","",""
"2A","20-21","2","Drainage works","99,593.00","Drainage","","",""
"2A","20-21","3","Masks distribution","200,000.00","Help / Fund / Relief Work","","",""
"2A","20-21","4","Sanitizer stand","199,528.06","Help / Fund / Relief Work","","",""
"2A","20-21","5","Drainage works","128,847.86","Drainage","","",""
"2A","20-21","6","Colouring slogans","197,701.26","Decoration","","",""
"2A","20-21","7","Toilet repairs","142,243.00","Toilet","","",""
"2A","20-21","8","Drainage works","123,969.00","Drainage","","",""
"2A","20-21","9","Repair and maintenance","159,209.09","Maintenance","","",""
"2B","20-21","1","Jute bags ","200,000.00","Bags","","",""
"2B","20-21","2","Wash basin","199,528.06","Help / Fund / Relief Work","","",""
"2B","20-21","3","Toilet repairs","200,000.00","Toilet","","",""
"2B","20-21","4","Toilet repairs","132,400.00","Toilet","","",""
"2B","20-21","5","Drainage works","123,678.00","Drainage","","",""
"2B","20-21","6","Toilet repairs","182,932.56","Toilet","","",""
"2B","20-21","7","Drainage works","199,575.04","Drainage","","",""
"2B","20-21","8","Toilet repairs","200,000.00","Toilet","","",""
"2B","20-21","9","Sanitizer stand","199,324.06","Help / Fund / Relief Work","","",""
"2C","20-21","1","Masks distribution","200,000.00","Help / Fund / Relief Work","","",""
"2C","20-21","2","Wash basin","199,779.58","Help / Fund / Relief Work","","",""
"2C","20-21","3","Wash basin","199,779.58","Help / Fund / Relief Work","","",""
"2C","20-21","4","Library shed","179,573.78","Library","","",""
"2C","20-21","5","Toilet repairs","141,685.00","Toilet","","",""
"2C","20-21","6","Drainage works","138,656.00","Drainage","","",""
"2C","20-21","7","Drainage works","143,724.35","Drainage","","",""
"2C","20-21","8","Paver Blocks","148,541.79","Pavement blocks","","",""
"2C","20-21","9","Concretization work","143,794.73","Concretization","","",""
"2D","20-21","1","Benches","125,384.00","Benches","","",""
"2D","20-21","2","Benches","125,505.00","Benches","","",""
"2D","20-21","3","Rada Roda cleaning work","200,000.00","Cleaning","","",""
"2D","20-21","4","Rada Roda cleaning work","145,738.84","Cleaning","","",""
"2D","20-21","5","Convex mirrors-Roads","149,788.80","Traffic","","",""
"2D","20-21","6","Nameplates","139,274.37","Nameplates","","",""
"2D","20-21","7","Nameplates","137,038.95","Nameplates","","",""
"2D","20-21","8","Fogging Machine","200,000.00","Cleaning","","",""
"2D","20-21","9","Grass Cutting Machine","200,000.00","Garden","","",""
"6A","20-21","1","Rada Roda cleaning work","145,083.52","Cleaning","","",""
"6A","20-21","2","Drainage works","135,362.00","Drainage","","",""
"6A","20-21","3","Toilet repairs","153,075.00","Toilet","","",""
"6A","20-21","4","Drainage works","137,628.00","Drainage","","",""
"6A","20-21","5","Toilet repairs","120,820.86","Toilet","","",""
"6A","20-21","6","Samaj Mandir repairs","117,737.00","Buildings","","",""
"6A","20-21","7","Drainage works","118,956.00","Drainage","","",""
"6A","20-21","8","Toilet repairs","120,151.02","Toilet","","",""
"6A","20-21","9","Drainage works","118,953.00","Drainage","","",""
"6A","20-21","10","samaj Mandir repairs","118,235.00","Buildings","","",""
"6B","20-21","1","Toilet repairs","197,284.45","Toilet","","",""
"6B","20-21","2","Toilet repairs","119,399.90","Toilet","","",""
"6B","20-21","3","Drainage works","179,246.75","Drainage","","",""
"6B","20-21","4","Toilet repairs","176,848.79","Toilet","","",""
"6B","20-21","5","Drainage works","179,282.48","Drainage","","",""
"6B","20-21","6","Drainage works","179,583.89","Drainage","","",""
"6B","20-21","7","Rada Roda cleaning work","189,219.93","Cleaning","","",""
"6B","20-21","8","Toilet repairs","179,177.00","Toilet","","",""
"6B","20-21","9","Drainage works","179,592.56","Drainage","","",""
"6B","20-21","10","Drainage works","179,177.52","Drainage","","",""
"6C","20-21","1","Covid Work","200,000.00","Help / Fund / Relief Work","","",""
"6C","20-21","2","Sanitizer stand","199,890.14","Help / Fund / Relief Work","","",""
"6C","20-21","3","Sanitizer stand","199,890.14","Help / Fund / Relief Work","","",""
"6C","20-21","4","Electrical works","81,495.39","Electrification","","",""
"6C","20-21","5","Drainage works","150,259.00","Drainage","","",""
"6C","20-21","6","Road works","152,145.00","Road","","",""
"6C","20-21","7","Drainage works","150,623.00","Drainage","","",""
"6C","20-21","8","Gym Equipments","172,992.66","Gym","","",""
"6C","20-21","9","Paver Blocks","173,903.21","Pavement blocks","","",""
"6D","20-21","1","Masks distribution","200,000.00","Help / Fund / Relief Work","","",""
"6D","20-21","2","Water Tank","199,558.04","Water supply","","",""
"6D","20-21","3","Toilet repairs","192,363.45","Toilet","","",""
"6D","20-21","4","Drainage works","199,590.65","Drainage","","",""
"6D","20-21","5","Drainage works","199,186.36","Drainage","","",""
"6D","20-21","6","Drainage works","199,524.49","Drainage","","",""
"6D","20-21","7","Street lights","114,121.73","Electrification","","",""
"6D","20-21","8","Toilet repairs","163,655.21","Toilet","","",""
"6D","20-21","9","Electrical works","176,841.97","Electrification","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
"","","","","","","","",""
